run_idx,step,action,new_item,score,inventory_size,ingredients,final_reward,domain
3,2,"('shell', '[scissors]-[[pen]-[paper]]')","('[shell]-[[scissors]-[[pen]-[paper]]]', 70)",70,8,"[('ribbon', 0), ('acorn', 0), ('newspaper', 0), ('[shell]-[[scissors]-[[pen]-[paper]]]', 70)]",160,decorations
3,3,"('paint', '[shell]-[[scissors]-[[pen]-[paper]]]')","('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100)",100,8,"[('ribbon', 0), ('acorn', 0), ('newspaper', 0), ('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100)]",160,decorations
3,4,"('frame', 'acorn')","('[frame]-[acorn]', 25)",100,8,"[('ribbon', 0), ('newspaper', 0), ('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[frame]-[acorn]', 25)]",160,decorations
3,5,"('paint', 'newspaper')","('[paint]-[newspaper]', 15)",100,8,"[('ribbon', 0), ('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[frame]-[acorn]', 25), ('[paint]-[newspaper]', 15)]",160,decorations
3,6,"('pen', '[paint]-[newspaper]')","('[pen]-[[paint]-[newspaper]]', 35)",100,8,"[('ribbon', 0), ('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[frame]-[acorn]', 25), ('[pen]-[[paint]-[newspaper]]', 35)]",160,decorations
3,7,"('frame', '[pen]-[[paint]-[newspaper]]')","('[frame]-[[pen]-[[paint]-[newspaper]]]', 60)",100,8,"[('ribbon', 0), ('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[frame]-[acorn]', 25), ('[frame]-[[pen]-[[paint]-[newspaper]]]', 60)]",160,decorations
3,8,"('[frame]-[acorn]', '[frame]-[[pen]-[[paint]-[newspaper]]]')","('[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]', 115)",115,7,"[('ribbon', 0), ('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]', 115)]",160,decorations
3,9,"('paint', 'ribbon')","('[paint]-[ribbon]', 15)",115,7,"[('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]', 115), ('[paint]-[ribbon]', 15)]",160,decorations
3,10,"('scissors', '[paint]-[ribbon]')","('[scissors]-[[paint]-[ribbon]]', 35)",115,7,"[('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]', 115), ('[scissors]-[[paint]-[ribbon]]', 35)]",160,decorations
3,11,"('pen', '[scissors]-[[paint]-[ribbon]]')","('[pen]-[[scissors]-[[paint]-[ribbon]]]', 55)",115,7,"[('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]', 115), ('[pen]-[[scissors]-[[paint]-[ribbon]]]', 55)]",160,decorations
